query_id,split,product_class,query_type,latency_seconds,answer_nonempty,requested_mode,effective_mode,video_count,citation_count,manual_image_count,all_media_valid,video_intervals_valid,video_citations_resolve,pool_has_direct_video_answer,judge_correctness,judge_evidence_support,judge_video_support,judge_non_hallucination,judge_safety_handling,judge_no_answer_handling,judge_failure_reasons,human_review_required
VQ-012,source_disjoint_test,Air Fryer,maintenance,14.735681,1,tri_hybrid,tri_hybrid,3,4,0,1,1,1,1,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,"[""The answer incorrectly identifies the product as a toothbrush and states the manual does not contain air fryer cleaning instructions, despite the query explicitly specifying an Air Fryer."", ""The answer fails to utilize the provided video evidence which contains direct demonstrations of cleaning the air fryer chamber and heating element (e.g., wiping with cloth, brushing coils)."", ""The answer claims the information is not covered and suggests contacting support, which is a hallucinated refusal given that `video_pool_has_direct_answer` is true and specific visual evidence exists.""]",1
VQ-013,source_disjoint_test,Air Fryer,troubleshooting,38.092579,1,tri_hybrid,tri_hybrid,3,0,2,1,1,1,1,0.900000,0.300000,0.200000,0.400000,1.000000,0.000000,"[""The answer claims specific visual evidence (hearing a 'click', checking rails) which is not supported by the provided human relevance notes or structured evidence."", ""Human notes explicitly state that while frames show the basket out or being removed, 'no troubleshooting steps are demonstrated' and 'no troubleshooting solution is demonstrated'."", ""The answer includes placeholder tags <PIC> implying visual proof exists in the source, but the evidence indicates the video only shows the problem state, not the solution procedure."", ""High specificity in the answer (e.g., 'wait a few minutes') is unsupported by the provided evidence.""]",1
VQ-014,source_disjoint_test,Air Fryer,troubleshooting,6.983827,1,tri_hybrid,tri_hybrid,3,2,1,1,1,1,1,1.000000,0.600000,1.000000,0.800000,1.000000,1.000000,"[""The provided structured_evidence (manual excerpts) does not contain the specific instructions regarding shaking or turning food found in the answer text; the answer relies on unprovided manual content ('Manual08_10') rather than the supplied evidence snippets."", ""The answer includes specific procedural details (e.g., 'press the basket release button', 'slide the lid') that are not present in the supplied structured_evidence, violating the constraint to evaluate only against supplied evidence.""]",1
VQ-015,source_disjoint_test,Air Fryer,troubleshooting,7.954350,1,tri_hybrid,tri_hybrid,3,0,1,1,1,1,0,0.900000,0.000000,0.000000,0.200000,1.000000,1.000000,"[""The provided structured_evidence is empty, yet the answer contains highly specific procedural details (e.g., soaking for 10-15 minutes, specific brush types, dishwasher warnings) that cannot be verified against the supplied evidence."", ""The answer relies on external knowledge or unprovided manual content rather than the supplied evidence structure.""]",1
VQ-016,source_disjoint_test,Air Fryer,safety,9.542451,1,tri_hybrid,tri_hybrid,3,4,2,1,1,1,1,0.900000,0.850000,0.600000,0.950000,0.900000,1.000000,"[""The answer includes specific instructions ('wear oven-safe gloves', 'use tongs') that are not explicitly present in the provided structured manual excerpts, although they are common sense safety practices. The manual excerpts provided only mention cooling down and keeping distance from steam."", ""Video evidence shows the physical removal action but lacks explicit visual demonstration of safety measures (like gloves) mentioned in the answer, leading to a lower video support score despite the action being visible.""]",1
VQ-017,source_disjoint_test,Air Fryer,safety,4.730274,1,tri_hybrid,tri_hybrid,3,2,0,1,1,1,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,[],1
VQ-018,development,Espresso Machine,operation,10.104517,1,tri_hybrid,tri_hybrid,3,4,7,1,1,1,1,0.200000,0.300000,0.100000,0.400000,1.000000,1.000000,"[""Product Mismatch: The answer describes a capsule-based machine with a lever mechanism (likely Nespresso), while the video evidence and human notes describe a manual portable espresso maker requiring ground coffee and pumping."", ""Evidence Contradiction: The answer instructs to insert a capsule, whereas the video evidence explicitly shows adding ground coffee."", ""Unsupported Specificity: The answer provides specific button names (Lungo/Espresso) and volumes not present in the provided manual excerpts or video evidence.""]",1
VQ-019,development,Espresso Machine,operation,5.233443,1,tri_hybrid,tri_hybrid,3,0,0,1,1,1,1,0.000000,0.000000,0.000000,0.200000,1.000000,0.000000,"[""The answer incorrectly states that the manual/video does not contain the requested information."", ""The answer claims the content is about capsule machines and excludes coffee grounds, which directly contradicts the provided evidence notes describing multiple frames of grinding, dosing, and tamping coffee grounds."", ""The system failed to utilize the available visual evidence (video_pool_has_direct_answer: true) to answer the query.""]",1
VQ-020,development,Espresso Machine,operation,7.156076,1,tri_hybrid,tri_hybrid,3,5,3,1,1,1,1,0.100000,0.200000,0.000000,0.300000,1.000000,0.000000,"[""The answer incorrectly identifies the machine as capsule-based and denies the existence of a portafilter, contradicting the video evidence which clearly shows a portafilter being locked into a group head."", ""The answer provides instructions for a lever/capsule mechanism (insert capsule, close lever) which are not supported by the visual evidence of a traditional portafilter operation."", ""The answer fails to describe the actual action shown in the video: rotating the portafilter handle to lock it and pressing a button to start extraction."", ""Despite 'video_pool_has_direct_answer' being true and human notes confirming the video shows the exact requested action, the answer claims the manual describes a different machine type entirely.""]",1
VQ-021,development,Espresso Machine,state,5.830092,1,tri_hybrid,tri_hybrid,3,0,2,1,1,1,1,0.900000,0.300000,0.200000,0.800000,1.000000,1.000000,"[""The provided answer relies on manual text citations ('Manual07_18', 'Manual07_19') which are not present in the 'structured_evidence' array, violating the constraint to evaluate only against supplied evidence."", ""The 'human_relevance_notes' explicitly state that the video frames show the machine *during* extraction and do *not* directly demonstrate the pre-extraction 'ready' state (flashing vs. solid light transition). Therefore, the video does not support the specific claim about the indicator light behavior before extraction."", ""The answer contains specific details (e.g., 'approx 25 seconds', 'Lungo button') that are not supported by the visual evidence provided in the notes, constituting unsupported specificity.""]",1
VQ-022,development,Espresso Machine,state,5.736583,1,tri_hybrid,tri_hybrid,3,3,1,1,1,1,1,0.400000,0.300000,0.900000,0.200000,1.000000,1.000000,"[""hallucinated_source_attribution"", ""unsupported_specificity"", ""factual_inaccuracy""]",1
VQ-023,development,Espresso Machine,state,5.596646,1,tri_hybrid,tri_hybrid,3,0,1,1,1,1,1,0.200000,0.100000,0.000000,0.300000,1.000000,0.000000,"[""The answer claims visual evidence (dripping state, pressure gauge dropping) that is explicitly stated as missing or unclear in the human_relevance_notes."", ""The structured_evidence is empty, yet the answer cites a specific manual source not provided in the context."", ""The human notes indicate the video does not clearly capture the end-of-extraction signals (flow stopping), contradicting the answer's definitive description of these visual cues based on the video."", ""The answer includes hallucinated details (pressure gauge behavior) not supported by the provided video frames or notes.""]",1
VQ-024,development,Espresso Machine,component,8.410227,1,tri_hybrid,tri_hybrid,3,3,0,1,1,1,1,0.100000,0.100000,0.000000,0.900000,1.000000,0.200000,"[""The answer incorrectly claims the manual lacks information, ignoring that the query type is 'component' and the video pool contains direct visual evidence."", ""The answer fails to utilize the provided video evidence which clearly shows the portafilter and filter basket installed in the group head and held separately."", ""The answer provides a generic deflection instead of describing the visual location of the components as seen in the video frames (e.g., locked into the group head)."", ""The answer contradicts the metadata flag 'video_pool_has_direct_answer': true.""]",1
VQ-025,development,Espresso Machine,component,4.268667,1,tri_hybrid,tri_hybrid,3,0,0,1,1,1,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,[],0
VQ-026,development,Espresso Machine,component,9.440399,1,tri_hybrid,tri_hybrid,3,2,2,1,1,1,1,1.000000,0.200000,1.000000,0.800000,1.000000,1.000000,"[""The provided structured_evidence (manual excerpts) contains no information regarding the location of the group head or drip tray; it only discusses water tank maintenance and frost protection. The answer claims support from 'Manual07_1' and 'Manual07_37', but the supplied evidence snippets do not match these IDs or contain relevant content."", ""The answer includes specific details about a 'removable drip grid' and 'used capsule container' which are not present in the provided manual excerpts, constituting unsupported specificity relative to the supplied text evidence.""]",1
VQ-027,development,Espresso Machine,maintenance,7.404608,1,tri_hybrid,tri_hybrid,3,2,0,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,[],0
VQ-028,source_disjoint_test,Espresso Machine,maintenance,8.726953,1,tri_hybrid,tri_hybrid,3,0,0,1,1,1,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,[],0
VQ-029,source_disjoint_test,Espresso Machine,maintenance,6.204392,1,tri_hybrid,tri_hybrid,3,0,1,1,1,1,1,1.000000,0.800000,0.600000,1.000000,1.000000,1.000000,"[""Video evidence only partially supports the answer: it demonstrates tray removal but lacks visual confirmation of the emptying/cleaning process described in step 2.""]",1
VQ-030,source_disjoint_test,Espresso Machine,troubleshooting,37.635051,1,tri_hybrid,tri_hybrid,3,4,1,1,1,1,1,0.200000,0.100000,0.000000,0.300000,0.500000,0.000000,"[""The answer provides troubleshooting steps (checking mains/fuse, filling tank with warm water) that are not supported by the provided structured evidence excerpts."", ""The provided evidence excerpts relate to general safety warnings, initial setup (filling tank), and rinsing, but do not contain specific instructions for diagnosing 'no water' issues such as checking fuses or voltage."", ""The answer ignores the video pool context which contains direct visual evidence of a purge/water flow check, failing to incorporate the available video support indicated by 'video_pool_has_direct_answer': true."", ""The citation '[\""Manual07_49\""]' in the answer does not correspond to any source_id in the structured_evidence list (which only includes IDs 5, 15, 20, 22).""]",1
VQ-031,source_disjoint_test,Espresso Machine,troubleshooting,6.996585,1,tri_hybrid,tri_hybrid,3,0,0,1,1,1,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,[],0
VQ-032,source_disjoint_test,Espresso Machine,troubleshooting,6.409885,1,tri_hybrid,tri_hybrid,3,4,0,1,1,1,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,[],0
VQ-033,source_disjoint_test,Espresso Machine,safety,5.275701,1,tri_hybrid,tri_hybrid,3,4,1,1,1,1,0,0.200000,0.300000,0.000000,0.800000,0.400000,0.100000,"[""The provided answer contains generic safety warnings ('Do not touch hot surfaces') that do not specifically address the user's question about avoiding burns from the steam wand during operation."", ""The evidence provided does not contain specific instructions on steam wand usage or hand placement techniques to prevent burns."", ""The video pool has no direct answer, and the text evidence fails to provide the specific procedural safety advice requested.""]",1
VQ-034,source_disjoint_test,Espresso Machine,safety,7.371324,1,tri_hybrid,tri_hybrid,3,6,0,1,1,1,0,0.200000,0.300000,0.100000,0.400000,0.900000,0.800000,"[""Contradiction with metadata: The answer claims video evidence shows a portafilter and purge button, but 'video_pool_has_direct_answer' is false, implying the video does not contain the specific procedure requested."", ""Hallucinated visual details: The answer describes a 'PURGE button' and specific water flow actions as the solution, which are likely not present or applicable given the negative video pool status and the manual's description of a capsule-based system."", ""Logical inconsistency: The answer states the machine is a capsule system (which typically lacks a traditional portafilter) yet provides instructions on clearing pressure for a portafilter using video evidence that supposedly shows one, creating a confusing and potentially unsafe instruction set.""]",1
VQ-035,development,Pressure Cooker,operation,8.306633,1,tri_hybrid,tri_hybrid,3,4,1,1,1,1,1,0.900000,0.850000,0.600000,1.000000,1.000000,1.000000,"[""The answer includes specific details about 'air fryer lid' and 'non-stick ceramic coated inner pot' which are not present in the provided structured evidence excerpts."", ""The video evidence notes consistently state that while ingredient loading is shown, the specific action of inserting the inner pot into the cooker base is NOT demonstrated in the provided clips, contradicting the high video_support score if interpreted as full procedural coverage.""]",1
VQ-036,development,Pressure Cooker,operation,34.822514,1,tri_hybrid,tri_hybrid,3,2,1,1,1,1,1,1.000000,0.900000,1.000000,1.000000,1.000000,1.000000,[],0
VQ-037,development,Pressure Cooker,operation,7.981997,1,tri_hybrid,tri_hybrid,3,2,1,1,1,1,1,0.900000,0.600000,1.000000,0.800000,1.000000,1.000000,"[""The answer describes a specific interface ('Pressure Cook' button, '- / + Time' buttons) that is not supported by the provided structured manual excerpts (which only mention adding water or general steps). The answer appears to rely on external knowledge of a specific model (likely Instant Pot) rather than the supplied evidence."", ""The provided manual excerpts do not contain instructions on selecting programs or setting time, leading to a low evidence_support score despite the answer being factually plausible for common devices.""]",1
VQ-038,development,Pressure Cooker,state,9.599143,1,tri_hybrid,tri_hybrid,3,6,3,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,[],0
VQ-039,development,Pressure Cooker,state,5.980329,1,tri_hybrid,tri_hybrid,3,0,2,1,1,1,1,0.900000,0.600000,0.500000,0.800000,1.000000,1.000000,"[""The answer claims the display switches from 'On' to a countdown upon reaching pressure, citing manuals. However, the provided video evidence notes explicitly state that the videos do NOT show the transition from 'On' or the moment pressure is reached; they only show the countdown already in progress. Therefore, the specific visual claim about the transition is not supported by the supplied video evidence, leading to a lower video_support and evidence_support score despite the answer likely being factually correct based on the manual citations (which are listed but not provided as structured text for verification).""]",1
VQ-040,development,Pressure Cooker,state,6.272952,1,tri_hybrid,tri_hybrid,3,5,1,1,1,1,1,0.200000,0.100000,0.000000,0.300000,1.000000,0.000000,"[""The answer claims specific display behavior ('Keep Warm timer counting up from 00:00') which is not present in the provided structured evidence excerpts."", ""The provided video relevance notes explicitly state that 'all frames do not show keep-warm start indication or control panel status', contradicting the claim that the video supports the answer."", ""The structured evidence excerpts (sources 23, 31, 26, 51, 29) contain no information regarding the completion signal or keep-warm display logic."", ""The answer relies on external knowledge or hallucinated details not supported by the supplied manual sections or video analysis.""]",1
VQ-041,development,Pressure Cooker,component,7.557457,1,tri_hybrid,tri_hybrid,3,0,2,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,[],0
VQ-042,development,Pressure Cooker,component,9.159873,1,tri_hybrid,tri_hybrid,3,4,0,1,1,1,1,1.000000,0.900000,1.000000,1.000000,1.000000,1.000000,[],0
VQ-043,development,Pressure Cooker,component,11.099146,1,tri_hybrid,tri_hybrid,3,2,1,1,1,1,1,0.900000,0.600000,0.300000,0.700000,1.000000,1.000000,"[""The answer contains specific operational details (e.g., 'PC MAX — 2/3 line', 'Sauté mode display switching from On to Hot', 'Poultry program') that are not present in the provided structured evidence excerpts."", ""The provided video evidence notes explicitly state that the video did NOT directly demonstrate how the inner pot is placed/removed in coordination with the panel, contradicting the high video_support score if interpreted as direct visual proof of the specific interaction described."", ""The answer relies on external knowledge or unprovided manual sections (referenced as Manual30_23 in the answer string but not provided in structured_evidence) rather than strictly evaluating against the supplied evidence snippets (Source 20 and 18).""]",1
VQ-044,development,Pressure Cooker,maintenance,8.416986,1,tri_hybrid,tri_hybrid,3,3,3,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,[],0
VQ-045,source_disjoint_test,Pressure Cooker,maintenance,8.973354,1,tri_hybrid,tri_hybrid,3,1,4,1,1,1,0,0.400000,0.200000,0.100000,0.300000,0.900000,0.800000,"[""The answer provides specific removal instructions for the 'anti-block shield' (pressing sides to pop off) which are not present in the provided structured evidence or video transcript."", ""The provided video evidence (pressure-033-scene-0022) only discusses checking the gasket and valves for perfection/tears, not cleaning methods or removal mechanics."", ""The answer cites manual sources (Manual30_*) which are not included in the 'structured_evidence' list, violating the constraint to evaluate only against supplied evidence."", ""High specificity in the answer (e.g., 'hold like a steering wheel') is unsupported by the provided video pool, which has no direct demonstration of this process.""]",1
VQ-046,source_disjoint_test,Pressure Cooker,maintenance,8.782888,1,tri_hybrid,tri_hybrid,3,2,0,1,1,1,1,0.200000,0.100000,0.300000,0.400000,0.900000,0.000000,"[""The answer provides detailed cleaning instructions (warm soapy water, non-abrasive sponge) that are not present in the supplied manual excerpts."", ""The answer includes specific reinstallation warnings (wiping heating element) not found in the provided evidence snippets."", ""The provided manual excerpts only cover fill levels and air vent usage, offering no support for the cleaning or reinstallation steps described in the answer."", ""While the video pool contains visual evidence of reinstallation, the answer's textual content is largely unsupported by the specific structured evidence provided for evaluation.""]",1
VQ-047,source_disjoint_test,Pressure Cooker,troubleshooting,9.150196,1,tri_hybrid,tri_hybrid,3,0,2,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,[],0
VQ-048,source_disjoint_test,Pressure Cooker,troubleshooting,6.943882,1,tri_hybrid,tri_hybrid,3,3,0,1,1,1,0,0.200000,0.000000,0.000000,0.000000,0.500000,1.000000,"[""answer_not_supported_by_evidence"", ""hallucinated_content""]",1
VQ-049,source_disjoint_test,Pressure Cooker,troubleshooting,38.611969,1,tri_hybrid,tri_hybrid,3,0,2,1,1,1,1,1.000000,0.900000,0.800000,0.900000,1.000000,1.000000,[],0
VQ-050,source_disjoint_test,Pressure Cooker,safety,8.109584,1,tri_hybrid,tri_hybrid,3,5,0,1,1,1,1,1.000000,0.900000,1.000000,1.000000,1.000000,1.000000,[],1
VQ-051,source_disjoint_test,Pressure Cooker,safety,5.999533,1,tri_hybrid,tri_hybrid,3,2,1,1,1,1,0,0.200000,0.100000,0.000000,0.300000,0.500000,0.900000,"[""answer_not_supported_by_evidence"", ""hallucinated_specific_details""]",1
VQ-052,development,Printer,operation,35.161381,1,tri_hybrid,tri_hybrid,3,0,0,1,1,1,1,0.100000,0.100000,0.200000,0.900000,1.000000,0.100000,"[""contradicts_video_metadata"", ""missed_visual_evidence""]",1
VQ-053,development,Printer,operation,11.906437,1,tri_hybrid,tri_hybrid,3,0,0,1,1,1,1,0.100000,0.100000,0.900000,0.200000,0.500000,0.100000,"[""The answer incorrectly claims no steps were found in the manual/evidence, despite structured evidence confirming the video pool contains direct demonstrations of cartridge insertion."", ""The answer fails to describe the visible installation steps (opening cover, inserting cartridge) which are explicitly noted in human_relevance_notes."", ""The answer provides a generic 'contact support' response instead of utilizing the available visual evidence for the partial query fulfillment.""]",1
VQ-054,development,Printer,operation,22.679154,1,tri_hybrid,tri_hybrid,3,2,0,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,[],0
VQ-055,development,Printer,state,6.604456,1,tri_hybrid,tri_hybrid,3,0,0,1,1,1,1,0.100000,0.000000,0.000000,0.200000,1.000000,0.000000,"[""The answer incorrectly claims the information is not found in the manual/evidence, despite `video_pool_has_direct_answer` being true and human notes confirming visual evidence of the ready state (green light steady)."", ""The answer fails to utilize the available video evidence which directly demonstrates the printer's ready state indicator."", ""The response provides a generic 'contact support' suggestion instead of answering the specific visual query based on the provided pool.""]",1
VQ-056,development,Printer,state,8.026266,1,tri_hybrid,tri_hybrid,3,3,0,1,1,1,1,0.100000,0.200000,0.000000,0.900000,1.000000,0.100000,"[""The answer incorrectly states that the manual does not provide a description, ignoring the explicit instruction to evaluate against supplied evidence which includes video pool data."", ""The answer fails to utilize the 'human_relevance_notes' and 'video_pool_has_direct_answer: true' fields, which contain direct visual descriptions of active paper feeding and printing."", ""The answer provides safety warnings instead of answering the specific query about what the active state looks like, despite positive evidence being available.""]",1
VQ-057,development,Printer,state,5.217545,1,tri_hybrid,tri_hybrid,3,0,0,1,1,1,1,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,"[""The answer incorrectly states that no information was found in the manual/evidence, despite the 'human_relevance_notes' and 'video_pool_has_direct_answer' flag indicating clear visual evidence of error displays (HP error dialog and Canon 'Stop' message)."", ""The model failed to utilize the provided structured evidence/notes which explicitly describe the visual demonstration of printer errors.""]",1
VQ-058,development,Printer,component,11.037245,1,tri_hybrid,tri_hybrid,3,3,3,1,1,1,1,0.200000,0.100000,0.300000,0.400000,0.900000,0.000000,"[""The answer claims the input tray is at the 'front' and guides are 'inside', but the provided manual excerpts do not contain this specific location information."", ""The safety warnings in the answer (pinching fingers in guides) are not present in the supplied manual excerpts, which discuss different hazards (paper cuts, electric charge, trapping fingers during exit)."", ""The answer cites specific manual sections ('Manual15_6', etc.) that are not mapped to the provided structured evidence IDs (22, 23, 24)."", ""The human relevance notes indicate the video shows the tray position but explicitly states it does 'not show paper guides and their adjustment method', contradicting the claim that the video pool fully supports the detailed answer about guides.""]",1
VQ-059,development,Printer,component,5.291372,1,tri_hybrid,tri_hybrid,3,0,0,1,1,1,1,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,"[""The answer claims the information is not found in the manual, but the metadata explicitly states 'video_pool_has_direct_answer': true and human notes confirm the video shows the process of opening the cover."", ""The answer fails to utilize the available visual evidence which directly demonstrates how to open the printer compartment."", ""The response incorrectly triggers a 'no answer' scenario despite positive evidence being present.""]",1
VQ-060,development,Printer,component,6.438397,1,tri_hybrid,tri_hybrid,3,5,1,1,1,1,0,0.200000,0.000000,0.000000,0.100000,0.500000,0.100000,"[""The provided answer claims the rear access area is at the back and instructs to open rear panels, but none of the supplied manual excerpts contain information about rear paper-jam access or rear doors."", ""The answer cites '[\""Manual15_7\""]' which does not correspond to any of the provided source_ids (24, 23, 22, 7, 10) in the structured evidence."", ""The provided evidence snippets discuss electrical safety, carrying the product, finger trapping risks, placement, and high-voltage warnings, but do not address the location of paper-jam access areas."", ""The answer contains specific procedural details ('direct view of the paper path', 'common areas for accessing jammed sheets') that are not supported by the provided text, constituting unsupported specificity/hallucination relative to the evidence.""]",1
VQ-061,development,Printer,maintenance,4.392339,1,tri_hybrid,tri_hybrid,3,0,0,1,1,1,1,0.100000,0.100000,0.200000,0.900000,1.000000,0.100000,"[""The answer claims no information was found in the manual, but the metadata `video_pool_has_direct_answer` is true and `human_relevance_notes` confirm visual evidence of a cleaning sequence exists."", ""The answer fails to describe the visible maintenance action (injecting liquid into the printhead/ink path) shown in the video frames, resulting in a missed opportunity to provide partial or full support based on the available evidence.""]",1
VQ-062,source_disjoint_test,Printer,maintenance,4.613649,1,tri_hybrid,tri_hybrid,3,0,0,1,1,1,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,[],0
VQ-063,source_disjoint_test,Printer,maintenance,5.133946,1,tri_hybrid,tri_hybrid,3,0,0,1,1,1,1,0.100000,0.100000,0.900000,0.200000,1.000000,0.100000,"[""The answer incorrectly states that specific replacement steps were not found in the manual/evidence, despite the `video_pool_has_direct_answer` being true and `human_relevance_notes` describing clear visual evidence of cartridge removal and insertion."", ""The answer fails to utilize the available video evidence which demonstrates key parts of the maintenance process (opening cover, releasing latches, inserting new cartridge)."", ""The response provides a 'no answer' conclusion when positive evidence exists, violating the instruction to evaluate against supplied evidence where a direct demonstration is present.""]",1
VQ-064,source_disjoint_test,Printer,troubleshooting,10.212360,1,tri_hybrid,tri_hybrid,3,5,0,1,1,1,0,0.200000,0.100000,0.100000,0.100000,0.500000,0.100000,"[""The answer claims to provide a safe method based on video evidence, but the provided video scenes (printer-017-scene-0002 and printer-017-scene-0003) do not contain instructions for removing jammed paper. Scene 0002 discusses causes of jams (overloading, incorrect paper), and Scene 0003 only shows opening panels/trays without showing the actual removal of jammed paper."", ""The answer hallucinates specific steps (Step 1: Turn Off/Unplug, Step 3: Pull paper in direction of travel) that are not present in the supplied structured evidence (manual excerpts or video OCR)."", ""The query status indicates 'video_pool_has_direct_answer' is false, meaning the video does not demonstrate the solution. The answer fails to acknowledge this limitation and instead fabricates a procedure attributed to the video."", ""The manual excerpts provided discuss carrying the product, electric shock risks from USB, and finger trapping risks, but do not provide the step-by-step procedure for clearing a jam as described in the answer.""]",1
VQ-065,source_disjoint_test,Printer,troubleshooting,4.755979,1,tri_hybrid,tri_hybrid,3,0,0,1,1,1,1,0.100000,0.000000,0.900000,0.200000,0.500000,0.100000,"[""ignored_video_evidence"", ""false_negative_response"", ""contradicts_metadata""]",1
VQ-066,source_disjoint_test,Printer,troubleshooting,5.563314,1,tri_hybrid,tri_hybrid,3,1,0,1,1,1,1,0.100000,0.100000,0.000000,0.200000,1.000000,0.000000,"[""ignored_video_evidence"", ""false_negative_response"", ""contradicts_metadata""]",1
VQ-067,source_disjoint_test,Printer,safety,7.045072,1,tri_hybrid,tri_hybrid,3,0,1,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,[],1
