record_id,product_class,title,source_platform,source_page_url,creator,license_id,candidate_split,technical_decision,machine_decision,machine_visual_evidence,machine_uncertainty,sample_frame_paths,review_priority,prescreen_flags,license_reviewer,license_review_status,license_review_notes,content_reviewer,content_review_status,content_review_notes,adjudicator,adjudication_status,adjudication_notes,final_decision,dataset_split
espresso-006,Espresso Machine,Приготовление макиато.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:%D0%9F%D1%80%D0%B8%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BC%D0%B0%D0%BA%D0%B8%D0%B0%D1%82%D0%BE.webm,Pannet,CC BY-SA 4.0,source_disjoint_test_candidate,pass,retain_for_human_review,"A Bosch coffee machine is actively dispensing milk into a glass, with the machine's control panel and brand visible. The sequence shows the milk level rising and then coffee being added, indicating a beverage preparation process.",,data_video/review/candidate_frames/espresso-006/sample_01.jpg|data_video/review/candidate_frames/espresso-006/sample_02.jpg|data_video/review/candidate_frames/espresso-006/sample_03.jpg|data_video/review/candidate_frames/espresso-006/sample_04.jpg|data_video/review/candidate_frames/espresso-006/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
espresso-008,Espresso Machine,"Machine à café à l'hôtel de la Cloche (Dole, Jura, France).webm",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Machine_%C3%A0_caf%C3%A9_%C3%A0_l%27h%C3%B4tel_de_la_Cloche_(Dole,_Jura,_France).webm",Benoît Prieur,CC0,development_candidate,pass,retain_for_human_review,"A white mug with a logo is positioned under the spout of a coffee machine, and liquid is visibly being dispensed into it, indicating the brewing process is underway.",,data_video/review/candidate_frames/espresso-008/sample_01.jpg|data_video/review/candidate_frames/espresso-008/sample_02.jpg|data_video/review/candidate_frames/espresso-008/sample_03.jpg|data_video/review/candidate_frames/espresso-008/sample_04.jpg|data_video/review/candidate_frames/espresso-008/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
espresso-009,Espresso Machine,Tassimo coffee system.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Tassimo_coffee_system.webm,Erik Pålsson;,CC BY 3.0,development_candidate,pass,retain_for_human_review,"A Tassimo coffee machine is actively brewing coffee into a blue mug, with liquid visibly flowing from the spout into the cup.",,data_video/review/candidate_frames/espresso-009/sample_01.jpg|data_video/review/candidate_frames/espresso-009/sample_02.jpg|data_video/review/candidate_frames/espresso-009/sample_03.jpg|data_video/review/candidate_frames/espresso-009/sample_04.jpg|data_video/review/candidate_frames/espresso-009/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
espresso-015,Espresso Machine,Morning Espresso Routine (abridged version).webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Morning_Espresso_Routine_(abridged_version).webm,"Scott Schiller from San Francisco, CA, USA",CC BY 2.0,development_candidate,pass,retain_for_human_review,"The frames show an espresso machine in operation, with coffee being extracted from the portafilter into a red cup. The sequence captures the start of extraction, the flow of espresso, and the end of extraction.",,data_video/review/candidate_frames/espresso-015/sample_01.jpg|data_video/review/candidate_frames/espresso-015/sample_02.jpg|data_video/review/candidate_frames/espresso-015/sample_03.jpg|data_video/review/candidate_frames/espresso-015/sample_04.jpg|data_video/review/candidate_frames/espresso-015/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
espresso-016,Espresso Machine,Sunday Morning Espresso Routine - Grind + distribute + tamp + extraction (15-Second Abridged Version).webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sunday_Morning_Espresso_Routine_-_Grind_%2B_distribute_%2B_tamp_%2B_extraction_(15-Second_Abridged_Version).webm,"Scott Schiller from San Francisco, CA, USA",CC BY 2.0,development_candidate,pass,retain_for_human_review,"Frames show grinding coffee, tamping grounds into a portafilter, and the final frame displays a full espresso machine with cups and grinder, indicating espresso extraction is imminent or in progress.",,data_video/review/candidate_frames/espresso-016/sample_01.jpg|data_video/review/candidate_frames/espresso-016/sample_02.jpg|data_video/review/candidate_frames/espresso-016/sample_03.jpg|data_video/review/candidate_frames/espresso-016/sample_04.jpg|data_video/review/candidate_frames/espresso-016/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
printer-003,Printer,"Electronica 2025, Bangalore International Exhibition Centre, 16.webm",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Electronica_2025,_Bangalore_International_Exhibition_Centre,_16.webm",Gpkp,CC BY-SA 4.0,source_disjoint_test_candidate,pass,retain_for_human_review,"A person is operating a machine that appears to be a label printer, with a laptop connected for control. The machine is actively printing a label onto a black surface, with a visible laser or print head in motion.",,data_video/review/candidate_frames/printer-003/sample_01.jpg|data_video/review/candidate_frames/printer-003/sample_02.jpg|data_video/review/candidate_frames/printer-003/sample_03.jpg|data_video/review/candidate_frames/printer-003/sample_04.jpg|data_video/review/candidate_frames/printer-003/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
printer-006,Printer,FALHA DO CARTUCHO DE TINTA - O QUE FAZER.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:FALHA_DO_CARTUCHO_DE_TINTA_-_O_QUE_FAZER.webm,Valejet TV,CC BY 3.0,development_candidate,pass,retain_for_human_review,"A printer error message ('Falha do cartucho de tinta') is displayed on screen, and a person is shown handling a printer ink cartridge, indicating a troubleshooting procedure for a printer issue.",,data_video/review/candidate_frames/printer-006/sample_01.jpg|data_video/review/candidate_frames/printer-006/sample_02.jpg|data_video/review/candidate_frames/printer-006/sample_03.jpg|data_video/review/candidate_frames/printer-006/sample_04.jpg|data_video/review/candidate_frames/printer-006/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
vacuum-003,Vacuum,Robot vacuum cleaner - Japan - 2024 June 24.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Robot_vacuum_cleaner_-_Japan_-_2024_June_24.webm,Nesnad,CC BY 4.0,source_disjoint_test_candidate,pass,retain_for_human_review,"A circular robot vacuum cleaner is shown moving across a wooden floor, actively cleaning and navigating around furniture and a cabinet.",,data_video/review/candidate_frames/vacuum-003/sample_01.jpg|data_video/review/candidate_frames/vacuum-003/sample_02.jpg|data_video/review/candidate_frames/vacuum-003/sample_03.jpg|data_video/review/candidate_frames/vacuum-003/sample_04.jpg|data_video/review/candidate_frames/vacuum-003/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
vacuum-004,Vacuum,Staubsauger Henry Plus! 170 Breakdown.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Staubsauger_Henry_Plus!_170_Breakdown.webm,DYVER,CC BY-SA 4.0,source_disjoint_test_candidate,pass,retain_for_human_review,"A blue and black Henry vacuum cleaner is shown on a carpeted floor in an office setting. The frames display overlaid German text labels ('Original', 'Perspektive ändern', 'Farben anpassen', 'Löschen'), indicating editing or modification actions being demonstrated, which are operations related to the product's use or presentation.",,data_video/review/candidate_frames/vacuum-004/sample_01.jpg|data_video/review/candidate_frames/vacuum-004/sample_02.jpg|data_video/review/candidate_frames/vacuum-004/sample_03.jpg|data_video/review/candidate_frames/vacuum-004/sample_04.jpg|data_video/review/candidate_frames/vacuum-004/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
vacuum-008,Vacuum,A day in the life of NEATO our cleaning bot.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:A_day_in_the_life_of_NEATO_our_cleaning_bot.webm,George Buitelaar,CC BY 3.0,development_candidate,pass,retain_for_human_review,"The frames show a robotic vacuum cleaner moving across a floor, navigating around furniture and obstacles, which is a core operational function.",,data_video/review/candidate_frames/vacuum-008/sample_01.jpg|data_video/review/candidate_frames/vacuum-008/sample_02.jpg|data_video/review/candidate_frames/vacuum-008/sample_03.jpg|data_video/review/candidate_frames/vacuum-008/sample_04.jpg|data_video/review/candidate_frames/vacuum-008/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
vacuum-009,Vacuum,Vacuuming with Snickerdoodle (GEDC2330).webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Vacuuming_with_Snickerdoodle_(GEDC2330).webm,Trougnouf,CC BY 4.0,development_candidate,pass,retain_for_human_review,"A red vacuum cleaner is being pushed across a carpeted floor by a person, with a dog nearby. The vacuum is actively moving, indicating cleaning in progress.",,data_video/review/candidate_frames/vacuum-009/sample_01.jpg|data_video/review/candidate_frames/vacuum-009/sample_02.jpg|data_video/review/candidate_frames/vacuum-009/sample_03.jpg|data_video/review/candidate_frames/vacuum-009/sample_04.jpg|data_video/review/candidate_frames/vacuum-009/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
vacuum-010,Vacuum,Vorwerk Kobold VR100 in Zeitraffer im Büro.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Vorwerk_Kobold_VR100_in_Zeitraffer_im_B%C3%BCro.webm,Marcel B,CC BY 3.0,development_candidate,pass,retain_for_human_review,"A white robotic vacuum cleaner appears on the rug in frame 3 and moves across it in frame 4, indicating active cleaning operation.",,data_video/review/candidate_frames/vacuum-010/sample_01.jpg|data_video/review/candidate_frames/vacuum-010/sample_02.jpg|data_video/review/candidate_frames/vacuum-010/sample_03.jpg|data_video/review/candidate_frames/vacuum-010/sample_04.jpg|data_video/review/candidate_frames/vacuum-010/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
washing-007,Washing Machine,Wringer washer.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Wringer_washer.webm,Pierre5018,CC BY 4.0,development_candidate,pass,retain_for_human_review,"A person is operating a manual wringer machine, turning a crank to compress fabric between rollers, which is a key laundry operation.",,data_video/review/candidate_frames/washing-007/sample_01.jpg|data_video/review/candidate_frames/washing-007/sample_02.jpg|data_video/review/candidate_frames/washing-007/sample_03.jpg|data_video/review/candidate_frames/washing-007/sample_04.jpg|data_video/review/candidate_frames/washing-007/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
washing-009,Washing Machine,Aerra's Films of the Ordinary XV -- Washing machine pythagorean cup.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Aerra%27s_Films_of_the_Ordinary_XV_--_Washing_machine_pythagorean_cup.webm,Aerra Carnicom,CC BY-SA 4.0,development_candidate,pass,retain_for_human_review,"A hand is pouring liquid from a measuring cup into a detergent compartment of a white appliance. The appliance has labeled compartments and a 'Start/Pause' button, consistent with a washing machine. The action is clearly maintenance-related, specifically adding detergent.",,data_video/review/candidate_frames/washing-009/sample_01.jpg|data_video/review/candidate_frames/washing-009/sample_02.jpg|data_video/review/candidate_frames/washing-009/sample_03.jpg|data_video/review/candidate_frames/washing-009/sample_04.jpg|data_video/review/candidate_frames/washing-009/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
washing-010,Washing Machine,The Dancing Washing Machine from Videocon India.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:The_Dancing_Washing_Machine_from_Videocon_India.webm,SGMaheshwari,CC BY 3.0,development_candidate,pass,retain_for_human_review,"A front-loading washing machine is visible in a laundry area, with hoses and water connections nearby, suggesting setup or maintenance. The machine's control panel is visible in some frames.",,data_video/review/candidate_frames/washing-010/sample_01.jpg|data_video/review/candidate_frames/washing-010/sample_02.jpg|data_video/review/candidate_frames/washing-010/sample_03.jpg|data_video/review/candidate_frames/washing-010/sample_04.jpg|data_video/review/candidate_frames/washing-010/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
washing-011,Washing Machine,Crazy Asko washing machine.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Crazy_Asko_washing_machine.webm,seethroughwalls,CC BY 3.0,development_candidate,pass,retain_for_human_review,"A front-loading washing machine is shown with its drum visibly rotating, indicating it is in operation during a wash cycle.",,data_video/review/candidate_frames/washing-011/sample_01.jpg|data_video/review/candidate_frames/washing-011/sample_02.jpg|data_video/review/candidate_frames/washing-011/sample_03.jpg|data_video/review/candidate_frames/washing-011/sample_04.jpg|data_video/review/candidate_frames/washing-011/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
