id,题目(前80字),匹配产品,匹配置信度,语言,备注
45,请问你们的商品能提供终身维修服务吗？,非RAG,非RAG,zh,
46,我上个月购买的家电，使用不到一个月就出现故障，联系售后寄回维修，现在已经维修15天了，还没收到，而且我发现商品是翻新机，,非RAG,非RAG,zh,
47,我在你们平台批量购买了100件商品用于企业采购，收到货后发现有20件存在质量问题，15件少发，而且发票开错了抬头，需要重,非RAG,非RAG,zh,
48,我购买的食品类商品，收到后发现生产日期临近过期，而且包装破损，部分商品受潮无法食用，我要求退货退款并赔偿，同时担心食用了,非RAG,非RAG,zh,
49,我购买的商品包装破损，商品出现损坏，而且快递员拒绝承认是运输问题，同时我已经签收商品，请问还能申请售后吗？,非RAG,非RAG,zh,
50,我购买的大家电需要上门安装，但是安装人员上门后说需要额外收取配件费，而且安装服务原本应该是免费的，同时安装人员操作不规范,非RAG,非RAG,zh,
51,我购买的商品在质保期内出现质量问题，寄回维修后，维修人员说需要更换配件，而且要收取配件费，但是质保期内应该免费维修，同时,非RAG,非RAG,zh,
52,我购买的大型设备需要上门检修，但是检修人员上门后说设备故障无法现场修复，需要拉回仓库维修，而且维修时间不确定，同时我担心,非RAG,非RAG,zh,
53,我想试用商品，但是试用期间商品出现故障，而且不是人为操作导致的，同时我想延长试用期限，请问可以吗？另外故障商品能更换吗？,非RAG,非RAG,zh,
54,我购买的商品，收到后发现是临期商品（还有15天过期），但下单时页面未标注临期，而且商品包装上也没有临期提示，我要求退货退,非RAG,非RAG,zh,
55,我购买的商品，收到后发现商品的颜色和详情页描述的不一致，详情页是深红色，实际收到的是浅红色，而且商品有轻微的异味，想申请,非RAG,非RAG,zh,
57,我购买的商品，快递寄到后，我拆开包装发现商品损坏，但是快递员已经离开，没有当场验货，请问还能申请售后吗？,非RAG,非RAG,zh,
58,我购买的商品，使用时发现商品的功能和详情页描述的不一致，详情页说支持无线充电，实际不支持，而且商品的续航时间也比描述的短,非RAG,非RAG,zh,
64,使用吹风机时，人员需要佩戴哪些防护装备？,吹风机手册,3,zh,
65,操作吹风机时，人员需要注意哪些安全要点？,吹风机手册,3,zh,
66,使用吹风机时，如何调节化油器？,吹风机手册,3,zh,
67,吹风机冷机时，该如何启动？,吹风机手册,3,zh,
68,吹风机热机时，该如何启动？,吹风机手册,3,zh,
69,该如何关闭吹风机？,吹风机手册,3,zh,
70,空调的重要组成部件有哪些？,空调手册,2,zh,
71,如何找到空调遥控器的按键？,空调手册,2,zh,
72,如何给空调遥控器安装电池？,空调手册,2,zh,
73,如何安装空调遥控器支架？,空调手册,2,zh,
74,如何用空调快速调节室内温度？,空调手册,2,zh,
75,如何使用空调的自清洁运行功能？,空调手册,2,zh,
76,如何使用空调的等离子净化功能？,空调手册,7,zh,
77,单冷型空调如何开启自动运行模式？,空调手册,2,zh,
78,如何使用空调的自动转换运行功能？,空调手册,2,zh,
79,如何开启空调的节能制冷模式？,空调手册,2,zh,
80,无遥控器时如何操作空调？,空调手册,2,zh,
81,如何让空调实现自动重启？,空调手册,2,zh,
82,不同型号空调的清洁频率是多少？,空调手册,2,zh,
83,如何清洁空调的空气滤网？,空调手册,2,zh,
84,如何清洁空调的3M多重防护滤网？,空调手册,2,zh,
85,如何清洁空调的等离子滤网？,空调手册,2,zh,
86,如何快速组装蒸汽清洁机？,蒸汽清洁机手册,5,zh,
87,蒸汽清洁机有哪些实用的产品功能？如何快速上手使用？,蒸汽清洁机手册,5,zh,
88,如何使用蒸汽清洁机清洁硬质地面？,蒸汽清洁机手册,5,zh,
89,组装人体工学椅涉及哪些部件？,人体工学椅手册,5,zh,
90,椅子的扶手使用一段时间后为什么会松动？,人体工学椅手册,4,zh,
91,这款椅子有哪些功能？,人体工学椅手册,2,zh,
92,洗碗机的部件有哪些？,洗碗机手册,3,zh,
93,首次使用时，如何将洗碗机连接到排水口？,洗碗机手册,3,zh,
94,使用前如何为洗碗机添加专用盐？,洗碗机手册,3,zh,
95,如何为洗碗机添加洗涤剂？,洗碗机手册,3,zh,
96,如何为洗碗机添加洗涤块？,洗碗机手册,3,zh,
97,如何在洗碗机中添加和使用亮碟剂以获得更好的洗涤效果？,洗碗机手册,3,zh,
98,哪些物品不适合在洗碗机中清洗？,洗碗机手册,3,zh,
99,如何根据洗碗机型号安装餐具篮？,洗碗机手册,3,zh,
100,使用洗碗机前如何安装可折叠下层篮架？,洗碗机手册,3,zh,
101,如何调节洗碗机满载时上下碗篮的高度？,洗碗机手册,3,zh,
102,如何清洁洗碗机的进水管滤网？,洗碗机手册,3,zh,
103,如何清洁洗碗机的上层喷淋臂？,洗碗机手册,3,zh,
104,如何拆除空气净化器滤网的塑料包装？,空气净化器手册,8,zh,
105,如何安装空气净化器的脚轮？,空气净化器手册,8,zh,
106,空气净化器通常有哪些模式？如何设置？这些模式有什么特点？,空气净化器手册,8,zh,
107,空气净化器的室内空气质量指示灯是什么？,空气净化器手册,8,zh,
108,如何清洁空气净化器的设备内外？,空气净化器手册,8,zh,
109,如何清洁空气净化器的滤网？,空气净化器手册,8,zh,
110,如何更换空气净化器的滤网？,空气净化器手册,8,zh,
111,如何清洁空气净化器的灰尘传感器？,空气净化器手册,8,zh,
112,空气净化器需要长期存放时该怎么做？,空气净化器手册,8,zh,
113,如何了解这款健身单车的技术规格？,健身单车手册,6,zh,
114,启动健身单车前，我需要做什么？,健身单车手册,6,zh,
115,我听说买的这款健身单车配有控制台和显示功能，能为我介绍一下吗？,健身单车手册,6,zh,
116,在健身单车上运动前，我需要调整什么来保证运动的舒适度？,健身单车手册,6,zh,
117,使用健身单车的轻松骑行类别时，我能体验到哪些预设运动程序？,健身单车手册,6,zh,
118,使用健身单车的山地类别时，我能体验到哪些预设运动程序？,健身单车手册,6,zh,
119,挑战健身单车的最高难度类别时，我能体验到哪些预设运动程序？,健身单车手册,6,zh,
120,如果我想编辑健身单车的用户档案，需要遵循哪些步骤？,健身单车手册,6,zh,
121,我想在使用健身单车时设置心率目标，能否根据我的年龄为我推荐合适的目标心率？,健身单车手册,6,zh,
122,我听说这款健身单车有体能测试程序，这是什么功能？,健身单车手册,6,zh,
123,如果要给电钻充电，需要遵循哪些步骤？,电钻手册,2,zh,
124,我的DCB101型号电钻指示灯闪烁时，这些闪烁标识代表什么含义？,电钻手册,2,zh,
126,使用电钻时，如何安装单套无键夹头？,电钻手册,2,zh,
127,如果要安装和拆卸电钻的电池组，需要遵循什么步骤？,电钻手册,2,zh,
128,使用电钻的腰带挂钩和批头夹时，需要特别注意什么？,电钻手册,2,zh,
129,购买电钻后，应配备哪些附件？,电钻手册,2,zh,
130,电钻的三年有限保修包含哪些内容？,电钻手册,2,zh,
131,购买健身追踪器后，包装盒里应该有什么？,健身追踪器手册,8,zh,
132,我刚发现健身追踪器电量低，该如何正确为其充电？,健身追踪器手册,8,zh,
133,为了让健身追踪器性能更佳，日常佩戴和运动时该将其佩戴在什么位置？,健身追踪器手册,8,zh,
134,我的健身追踪器表带太紧了，该如何扣紧表带？,健身追踪器手册,8,zh,
135,我想取下健身追踪器，该如何正确拆卸表带？,健身追踪器手册,8,zh,
136,我听说可以操作健身追踪器的界面，具体该遵循哪些步骤？,健身追踪器手册,8,zh,
137,健身追踪器能对手机的通知实现哪些功能？,健身追踪器手册,8,zh,
138,能告诉我健身追踪器是如何追踪皮肤温度变化的吗？,健身追踪器手册,8,zh,
139,通过运动应用，健身追踪器是如何追踪并分析我的运动情况的？,健身追踪器手册,8,zh,
140,健身追踪器是如何测量我的心率的？,健身追踪器手册,8,zh,
141,我该如何仅使用健身追踪器完成消费支付？,健身追踪器手册,8,zh,
142,使用健身追踪器时，我可能会遇到哪些问题以及该如何解决？,健身追踪器手册,8,zh,
144,我想给健身追踪器设置锁屏，该如何实现？,健身追踪器手册,8,zh,
145,使用冰箱冰柜时需要注意什么？只需告诉我手册中的前五条。,冰箱手册,4,zh,
146,给冰箱连接电源时，需要做到哪些注意事项？只需告诉我手册中的前五条。,冰箱手册,2,zh,
153,考虑到燃油高度易燃且有毒，使用发电机时我需要注意什么？,发电机手册,3,zh,
154,发电机工作后，发动机和消音器可能会发烫，这种情况下我该如何保证自身安全？,发电机手册,3,zh,
155,日常使用中，如何防止发电机触电事故的发生？,发电机手册,3,zh,
156,需要通过发电机的燃油开关旋钮供油时，我该遵循哪些步骤？,发电机手册,3,zh,
157,使用发电机时，燃油的使用前检查十分重要，该如何操作？,发电机手册,3,zh,
158,启动发电机发动机的前两个步骤是什么？,发电机手册,3,zh,
159,我需要给发电机连接交流电，该过程中如何保证自身安全？,发电机手册,3,zh,
160,我注意到发电机上有两种不同的开关，请为我介绍一下。,发电机手册,3,zh,
161,我该在哪里查找并记录发电机的标识信息？,发电机手册,3,zh,
162,使用发电机的直流保护器时，我需要注意什么？,发电机手册,3,zh,
163,使用发电机前，对发动机机油进行使用前检查十分重要，正确的步骤是什么？,发电机手册,3,zh,
164,根据手册说明，启动发电机发动机的最后三个步骤是什么？,发电机手册,3,zh,
165,发电机的电池电量不足了，该如何正确充电？,发电机手册,3,zh,
166,我需要让发电机的发动机停机，告诉我该如何操作。,发电机手册,3,zh,
167,根据手册的建议，使用发电机时该如何检查火花塞？,发电机手册,3,zh,
168,为了正确更换发电机的发动机机油，我需要遵循的前六个步骤是什么？,发电机手册,3,zh,
169,我在操作发电机空气滤清器时出现了失误，请告诉我正确的步骤。,发电机手册,3,zh,
170,如果发电机的发动机无法启动，我该怎么办？,发电机手册,3,zh,
171,我需要将发电机的燃油排空，该如何正确操作？,发电机手册,3,zh,
172,使用该发电机为对电压敏感的精密设备供电前，我需要做什么？,发电机手册,3,zh,
173,在划船或钓鱼的场景中，拖曳速度、半滑航速度和滑航速度分别指什么，它们在技巧和应用上有何不同？,摩托艇手册,6,zh,
174,如何在深水中登上并平衡摩托艇，确保操作的安全性和稳定性？,摩托艇手册,3,zh,
175,在滑航速度下驾驶摩托艇转弯时，有哪些技巧能在急转弯时保证稳定性和操控性？,摩托艇手册,5,zh,
176,驾驶摩托艇时，有哪些技巧能在完成大椭圆转弯、绕圈和8字行驶动作的同时，保持操控性和稳定性？,摩托艇手册,3,zh,
177,在驾驶摩托艇进行中低速转弯时，如何控制油门并保持行驶的稳定性和操控性？,摩托艇手册,3,zh,
178,如何驾驶摩托艇以拖曳速度直行和转弯，保证操作的平顺性和操控性？,摩托艇手册,7,zh,
179,摩托艇全加速行驶时，如何安全平稳地将其停稳？,摩托艇手册,3,zh,
180,驾驶摩托艇时，如何避免发生碰撞事故，保障自身和水上其他人员的安全？,摩托艇手册,3,zh,
181,水泵发动机安全停机的正确步骤是什么？,水泵手册,2,zh,
182,水泵的核心部件有哪些？,水泵手册,2,zh,
183,清洗油箱滤网的详细步骤是什么？,水泵手册,0,zh,水泵手册
184,水泵安全排放燃油的正确步骤是什么？,水泵手册,2,zh,
185,水泵无法抽水的潜在原因有哪些，该如何有效诊断并解决这些问题？,水泵手册,2,zh,
186,如何为温控器设置日期和时间，以实现精准的日程和温度控制？,可编程温控器手册,3,zh,
187,如何调整温控器的系统和风扇运行设置，以优化供暖和制冷效果？,可编程温控器手册,3,zh,
188,如何调整温控器的程序日程，以实现高效的能源利用和温度控制？,可编程温控器手册,3,zh,
189,如何在不影响已编程日程的情况下，临时更改温控器的温度设置？,可编程温控器手册,3,zh,
190,当设备或系统出现警报界面时，应采取哪些操作？,可编程温控器手册,0,zh,可编程温控器手册
191,针对热泵应如何修改接线，以确保连接正确且功能正常？,可编程温控器手册,0,zh,可编程温控器手册
192,如何安全更换温控器的电池，确保更换后设备功能正常？,可编程温控器手册,3,zh,
193,当标签与端子不匹配时，应如何正确为温控器重新接线，确保连接无误？,可编程温控器手册,3,zh,
194,遇到温控器故障时，可采用哪些故障排除解决方案？,可编程温控器手册,3,zh,
195,设备或系统中构成处理器单元的关键组件或部件有哪些？,VR头显手册,0,zh,VR头显手册
196,耳机有哪些类型，以及如何更换耳塞？,VR头显手册,0,zh,VR头显手册
197,为保持遮光罩的清晰度和功能性，正确的清洁步骤是什么？,VR头显手册,0,zh,VR头显手册
198,为确保安全且最佳的使用效果，游玩区域的推荐尺寸是多少？,VR头显手册,0,zh,VR头显手册
199,使用和操作VR头显时应采取哪些安全预防措施，以确保用户安全和设备使用寿命？,VR头显手册,8,zh,
200,功能键盘的保修政策通常包含哪些内容，又不包含哪些内容？,功能键盘手册,6,zh,
201,功能键盘的保修政策中，损害赔偿的除外责任或免责声明通常是什么？,功能键盘手册,6,zh,
202,如何设置功能键盘？,功能键盘手册,6,zh,
203,如何拆卸和重新安装功能键盘的轴体？,功能键盘手册,6,zh,
204,如何将功能键盘搭配CAM软件使用？,功能键盘手册,6,zh,
205,如何在硬件模式下使用功能键盘？,功能键盘手册,6,zh,
206,如何安装儿童电动摩托车的挡泥板？,儿童电动摩托车手册,12,zh,
207,如何安装儿童电动摩托车的前轮？,儿童电动摩托车手册,12,zh,
208,如何为蓝牙激光鼠标安装电池？,蓝牙激光鼠标手册,8,zh,
209,如何为蓝牙激光鼠标安装WIDCOMM蓝牙驱动程序？,蓝牙激光鼠标手册,8,zh,
210,如何为蓝牙激光鼠标卸载WIDCOMM蓝牙驱动程序？,蓝牙激光鼠标手册,8,zh,
211,如何在Windows系统中为蓝牙激光鼠标设置快速配对？,蓝牙激光鼠标手册,8,zh,
212,如何通过WIDCOMM蓝牙驱动程序为蓝牙激光鼠标设置配对？,蓝牙激光鼠标手册,8,zh,
213,如何查看蓝牙激光鼠标的电量状态？,蓝牙激光鼠标手册,8,zh,
214,如何首次为蓝牙激光鼠标使用该驱动程序？,蓝牙激光鼠标手册,8,zh,
215,如何将蓝牙激光鼠标与其他人机接口设备相连接？,蓝牙激光鼠标手册,8,zh,
216,如何拆卸烤箱门？,烤箱手册,2,zh,
217,如何安装烤箱门？,烤箱手册,2,zh,
218,如何移动烤箱的顶部加热元件（仅限部分型号）？,烤箱手册,2,zh,
219,如何更换烤箱的后部灯（如有）？,烤箱手册,2,zh,
220,如何使用烤箱的接油盘？,烤箱手册,2,zh,
221,如何清洁烤箱外部？,烤箱手册,2,zh,
222,如何使用烤箱的烤架？,烤箱手册,2,zh,
223,烤箱的催化侧面板有什么作用？,烤箱手册,2,zh,
224,如何使用烤箱的烤盘？,烤箱手册,2,zh,
225,如何使用烤箱的烤架烤盘套装？,烤箱手册,2,zh,
226,如何使用烤箱的油脂过滤器？,烤箱手册,2,zh,
227,如何使用烤箱的滑动搁架？,烤箱手册,2,zh,
228,如何为混合即时相机安装肩带？,相机手册,2,zh,
229,如何为混合即时相机装入电池？,相机手册,2,zh,
230,如何为混合即时相机装入相纸盒？,相机手册,2,zh,
231,如何为混合即时相机取出用完的相纸盒？,相机手册,2,zh,
232,如何设置混合即时相机的自动打印模式？,相机手册,2,zh,
233,如何设置混合即时相机的手动打印模式（初始设置）？,相机手册,2,zh,
234,如何使用混合即时相机拍摄照片？,相机手册,2,zh,
241,"If this is the first time to use airfryer, What should I do before first use?",air fryer,8,en,
242,How to find the approval label of emission control certificate of the boat?,boat,4,en,
243,How do I use the battery conversion feature before sailing?,boat,25,en,
244,How the ship steers?,boat,4,en,
245,What should I do if face over temperature warning on the boat?,boat,4,en,
246,"If I want to listen to music on my phone, how do I turn on the sound system?",boat,12,en,
247,How do I use the storage compartments if I want to store wet items while on boar,boat,19,en,
248,How to open the battery compartment when manipulating the boat?,boat,4,en,
249,How to install an anchor light while the boat is moving?,boat,16,en,
250,How do I use the jet wash function to clean the boat after using it?,boat,4,en,
251,How do I turn on or off the water supply button on my boat?,boat,4,en,
252,How to remove the bimini top of the boat?,boat,14,en,
253,How do I install a bimini top on my boat if I want to use the canopy?,boat,14,en,
254,How to store the bimini top in the upright position of the boat?,boat,14,en,
255,"When I am sailing, how do I check the engine oil level to ensure continued saili",boat,17,en,
256,How can I use the bilge pump of the boat?,boat,14,en,
257,How to perform anchor light switch check while sailing?,boat,19,en,
258,"When I want to start the boat, how do I turn on the boat's engine to get the mac",boat,4,en,
259,How do I turn a boat while sailing?,boat,11,en,
260,How to operate the boat cross wakes and swells?,boat,4,en,
261,How do I load the boat when the cruise is over?,boat,4,en,
262,How to flush the cooling system of the boat?,boat,18,en,
263,How to replace the fuse of the boat?,boat,4,en,
264,How to check the engine oil level of the boat?,boat,14,en,
265,How to use the energy saving mode of a coffee machine?,coffee machine,14,en,coffee machine
266,How to change the default setting of the energy saving mode?,coffee machine,0,en,coffee machine
267,How to program the water valume of a coffee machine?,coffee machine,14,en,
268,"How should I do if I want to empty the system before not in use, for frost prote",coffee machine,0,en,coffee machine
269,How should I do if I want to reset to factory settings of the coffee machine?,coffee machine,14,en,
270,How should I clean my coffee maker after I use it so that it can last longer?,coffee machine,12,en,
271,How to open the swim platform of the boat\uff1f,boat,17,en,
272,How to open the livewell and add water on the boat?,boat,4,en,
273,What is the maintenance setting screen of the boat controller?,boat,4,en,
274,"In the boat's steering position, what does the factory reset screen show?",boat,4,en,
275,What is the trip screen shown?,boat,11,en,boat
276,"When I am ready to sail, if everything is ready, how do I make the boat move for",boat,4,en,
277,How do I check the boat's steering system when I'm driving it?,boat,4,en,
278,How should fire extinguishers be stored on board and where should they be placed,boat,0,en,boat
279,How to care the throttle-cable of the boat?,boat,4,en,
280,How do I charge the camera battery when I'm not using it?,camera,6,en,
281,How to install the camera battery when another one is power off?,camera,6,en,
282,How do I connect the camera using a household power socket?,camera,6,en,
283,How do you mount the lens of a camera when preparing for photography?,camera,10,en,
284,How do you install the card into a camera before photography?,camera,6,en,
285,Have you ever wondered how to remove the camera shutter button? Understanding th,camera,20,en,
286,How do I replace the camera's date/time battery?,camera,6,en,
287,How to set an off-center subject mode of a camera?,camera,6,en,
288,"Before taking photos, we need to know How to use the eyepiece cover of the camer",camera,6,en,
289,How do I select the AF Mode when before taking a picture?,camera,7,en,
290,"How to set the camera model to \""P\"" model?",camera,6,en,
291,"After or during shooting, how can I view the camera image on TV for better clari",camera,6,en,
292,How can I delete a single image from my camera if I don't like the photo?,camera,6,en,
293,How can I erase all images from my camera if I don't like these.,camera,6,en,
294,How do I print photos using the camera's CP direct method after taking them?,camera,6,en,
295,How do you set up the camera to fine tune the model when using it?,camera,6,en,
296,"After the earphones is in my hand, what are the components I should have?",wireless earphones,8,en,
297,"If the case battery of earphones is low, how can I charge is?",wireless earphones,8,en,
298,"When bluetooth are pairing and connecting, what scenarios I might encounter?",wireless earphones,9,en,
299,What are the two main controling functions of earphones?,wireless earphones,8,en,
300,"Besides the two main controling functions, what other functions of the earphones",wireless earphones,8,en,
301,"If my earphones won't work, how can I reset them?",wireless earphones,8,en,
302,What are the maintenance and care policies of the earphones?,wireless earphones,8,en,
303,"From three different observing views, what buttons and interfaces should this eR",e-reader,7,en,
304,What do the functions of Main Menu and Browser History of the eReader can do?,e-reader,7,en,
305,"When in eBook mode of this eReader, what will happen after pressing \""M\"" botton",e-reader,12,en,
306,"If I want to listen to music using this eReader, what should I do?",e-reader,7,en,
307,"Can this eReader record voice? If so, how do I operate this feature?",e-reader,7,en,
308,"I can't find the way to play video using this eReader, can you tell me how to do",e-reader,7,en,
309,"Can this eReader become a photo viewer? If so, how do I operate this feature?",e-reader,7,en,
310,"When using this eReader, what kinds of trobles might I encounter and how to solv",e-reader,7,en,
311,"When connecting the fax, hwo can I properly finish the procedure?",fax machine,3,en,
312,What should I pay attention to in order to ensure my safety when using this fax?,fax machine,3,en,
313,"In order to keep your fingers safe, what should you pay attention to about the f",fax machine,3,en,
314,I'm about to move this fax. Is there anything I should pay attention to?,fax machine,3,en,
315,"Are caution or warning labels inside the fax important? If not, can I remove the",fax machine,3,en,
316,"If I'm in Canada, is there any statement of the fax vailable in my country?",fax machine,9,en,
317,"When using the grill, how to connect regulator to the LP Tank?",grill,5,en,
318,"To engure my safety when using the grill, how to do leak testing on valves, hose",grill,5,en,
319,What should I pay attention to on ablout indirect cooking using the grill?,grill,5,en,
320,What are the first three steps in assembly process of the grill according to the,grill,5,en,
321,Can you share me some safety tips using the grill?,grill,5,en,
322,What are identification numbers of my jetski? I don't understand that.,waverunner jetski,27,en,
323,I've heard that my jetski has cruising limitations. Please introduce them.,waverunner jetski,6,en,
324,I've heard that my jetski has cruising limitations. Please introduce them.,waverunner jetski,6,en,
325,What are the operation requirements if I want to use my jetski?,waverunner jetski,6,en,
326,What kinds of watercraft characteristics does my jetski have?,waverunner jetski,16,en,
327,"When encountering vessels driving my jetski, what rules should I obey?",waverunner jetski,6,en,
328,"I'd like to remove and install the seat of my jetski, what steps should I follow",waverunner jetski,6,en,
329,"In daily usage, how to open and close the hood of the jetski?",waverunner jetski,6,en,
330,I've noticed that there are two different kinds of filler caps on the jetski. Ho,waverunner jetski,6,en,
331,"If I need to manipulate the two kinds of engine switches on the jetski, what sho",waverunner jetski,6,en,
332,"There are two kinds of levers on the jetski, how to manipulate them?",waverunner jetski,6,en,
333,What information should I obtain about Quick Shift Trim System (QSTS) selector w,waverunner jetski,6,en,
334,What do fuel meter and hour meter on my jetski do?,waverunner jetski,6,en,
344,Inspecting fuel filter and fuel tank of my jetski is important. How to do that?,waverunner jetski,6,en,
345,How to adjust the adjustable sponson of my jetski if needed?,waverunner jetski,6,en,
346,The intake and impeller of my jetski are dirty. How to clean them?,waverunner jetski,6,en,
347,How to start my jetski in different situations?,waverunner jetski,6,en,
348,What are basic steps to board my jetski with a passenger in deep water?,waverunner jetski,6,en,
349,"If it is difficult to balance the jetski at a stand still, what should I do?",waverunner jetski,6,en,
350,What is the max load of the jetski?,waverunner jetski,6,en,
351,What is the overview of the base station of a landline?,landline?,20,en,
352,How can you connect the base station of a landline?,landline?,20,en,
353,How can you install the handset of a landline?,landline?,15,en,
354,How can you check the battery level of a landline?,landline?,8,en,
355,What can you do if your landline is in searching status?,landline?,8,en,
356,How can you know about the current status with different LED indicator behavior ,landline?,8,en,
357,How can you know about the current status with different LED indicator behavior ,landline?,20,en,
358,How can you lower the roll bar of a lawn mower?,riding lawn mower,15,en,
359,How can you adjust the rear-shock assemblies for a lawn mower with suspension sy,riding lawn mower,15,en,
360,How can you adjust the height of cut for a lawn mower with an electric deck lift,riding lawn mower,15,en,
361,How can you load a lawn mower?,riding lawn mower,15,en,
362,How can you unload a lawn mower?,riding lawn mower,15,en,
363,How can you change the engine oil of a lawn mower?,riding lawn mower,15,en,
364,How can you remove the filters of a lawn mower?,riding lawn mower,15,en,
365,How can you replace the mower belt of a lawn mower?,riding lawn mower,15,en,
366,How can you set up control of a over-the-range microwave?,over-the-range microwave,9,en,
367,How can you set the light timer of a over-the-range microwave?,over-the-range microwave,9,en,
368,How can you set yout favorite recipe with a over-the-range microwave?,over-the-range microwave,9,en,
369,How can you reheat food with a over-the-range microwave?,over-the-range microwave,9,en,
370,How can you use auto defrost of a over-the-range microwave?,over-the-range microwave,9,en,
371,How can you clean the grease filter of a over-the-range microwave?,over-the-range microwave,22,en,
372,How can you replace the charcoal filter of a over-the-range microwave? ,over-the-range microwave,24,en,
373,How can you replace the oven light of a over-the-range microwave? ,over-the-range microwave,9,en,
374,How can you set the PCI Express 3.0 x16 slots of a motherboard?,motherboard,22,en,
375,How can you set the jumpers of a motherboard?,motherboard,11,en,
376,How can you set the rear panel connectors of a motherboard?,motherboard,11,en,
377,How can you set the onboard LED of a motherboard?,motherboard,11,en,
378,How can you update the BIOS file of a motherboard?,motherboard,15,en,
379,How can you create RAID of a motherboard?,motherboard,15,en,
380,How can you use SATA ODD & USB devices to install an operating system for a moth,motherboard,15,en,
381,How can you secure the motherboard to the chassis?,motherboard,11,en,
382,How can you prepare the installation of Central Processing Unit (CPU) for a moth,motherboard,14,en,
383,How do you know about system memory of a motherboard?,motherboard,11,en,
384,How do you know about Serial port connector (10-1 pin COM) of a motherboard?,motherboard,11,en,
385,How do you know about TPM connector (14-1 pin TPM) for a motherboard?,motherboard,14,en,
386,How do you know about Thermal sensor connector (2-pin T_SENSOR) of a motherboard,motherboard,11,en,
387,How can you set quick release for a multi-use pressure cooker and air fryer?,multi-use pressure cooker and air fryer,15,en,
388,How can you set pressure cooking lid for a multi-use pressure cooker and air fry,multi-use pressure cooker and air fryer,15,en,
