query_id,query_text,split,product_class,query_type,classification,basis,evaluation_policy
VQ-051,压力锅快速排气时手和脸应该避开什么位置？,source_disjoint_test,Pressure Cooker,safety,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-060,Where is the rear paper-jam access area on a printer?,development,Printer,component,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-062,How is printhead alignment performed when print quality degrades?,source_disjoint_test,Printer,maintenance,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-069,怎样组装吸尘器延长杆和地刷？,development,Vacuum,operation,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-071,吸尘器怎样切换并使用缝隙吸头或小刷头？,development,Vacuum,operation,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-076,Where is the vacuum filter and how is it removed?,development,Vacuum,component,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-077,吸尘器地刷中的滚刷怎样拆卸？,development,Vacuum,component,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-079,怎样清洗或拍净吸尘器滤网？,source_disjoint_test,Vacuum,maintenance,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-080,How do I remove tangled hair from a vacuum brush roll?,source_disjoint_test,Vacuum,maintenance,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-081,吸尘器吸力下降时应检查哪些部件？,source_disjoint_test,Vacuum,troubleshooting,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-082,How do I troubleshoot a vacuum brush roll that will not spin?,source_disjoint_test,Vacuum,troubleshooting,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-084,How can liquids or hazardous debris be avoided when vacuuming?,source_disjoint_test,Vacuum,safety,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-085,怎样把衣物放入洗衣机并避免过载？,development,Washing Machine,operation,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-089,洗衣机正在脱水时怎样判断？,development,Washing Machine,state,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-100,How should washing-machine power and hot residual water be handled before cleaning the drain filter?,source_disjoint_test,Washing Machine,safety,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
