query_id,query_text,language,product_class,query_type,split,query_status,expected_visual_evidence,source_leakage_guard
VQ-027,萃取后怎样冲洗咖啡机冲煮头？,zh-CN,Espresso Machine,maintenance,development,design_frozen_pending_index_validation,water flush without coffee or cleaning cycle,"no source title, creator, model number, or transcript quotation in query"
VQ-028,How should an espresso-machine steam wand be wiped and purged after steaming milk?,en,Espresso Machine,maintenance,source_disjoint_test,design_frozen_pending_index_validation,wand wiping and brief steam purge,"no source title, creator, model number, or transcript quotation in query"
VQ-029,怎样取出并清空意式咖啡机接水盘？,zh-CN,Espresso Machine,maintenance,source_disjoint_test,design_frozen_pending_index_validation,"tray removal, emptying, and reinsertion","no source title, creator, model number, or transcript quotation in query"
VQ-030,What visible checks help when an espresso machine produces no water?,en,Espresso Machine,troubleshooting,source_disjoint_test,design_frozen_pending_index_validation,"reservoir, controls, group head, or blockage checks","no source title, creator, model number, or transcript quotation in query"
VQ-031,浓缩咖啡流速过快或过慢时怎样调整？,zh-CN,Espresso Machine,troubleshooting,source_disjoint_test,design_frozen_pending_index_validation,"dose, grind, tamp, or extraction adjustment","no source title, creator, model number, or transcript quotation in query"
VQ-032,How do I address an espresso-machine steam wand that is blocked or produces no steam?,en,Espresso Machine,troubleshooting,source_disjoint_test,design_frozen_pending_index_validation,"purging, wiping, or clearing the wand tip","no source title, creator, model number, or transcript quotation in query"
VQ-033,使用咖啡机蒸汽棒时怎样避免被高温蒸汽烫伤？,zh-CN,Espresso Machine,safety,source_disjoint_test,design_frozen_pending_index_validation,hand placement away from steam and hot metal,"no source title, creator, model number, or transcript quotation in query"
VQ-034,How should espresso-machine pressure be allowed to release before removing the portafilter?,en,Espresso Machine,safety,source_disjoint_test,design_frozen_pending_index_validation,extraction stop and delayed safe removal,"no source title, creator, model number, or transcript quotation in query"
VQ-035,怎样把内胆和食材正确放入电压力锅？,zh-CN,Pressure Cooker,operation,development,design_frozen_pending_index_validation,inner-pot insertion and ingredient loading,"no source title, creator, model number, or transcript quotation in query"
VQ-036,How do I align and lock a pressure-cooker lid?,en,Pressure Cooker,operation,development,design_frozen_pending_index_validation,lid alignment and locking motion,"no source title, creator, model number, or transcript quotation in query"
VQ-037,怎样选择压力烹饪程序并设置时间？,zh-CN,Pressure Cooker,operation,development,design_frozen_pending_index_validation,control-panel program and time selection,"no source title, creator, model number, or transcript quotation in query"
VQ-038,What visible signs show that a pressure cooker is building pressure?,en,Pressure Cooker,state,development,design_frozen_pending_index_validation,"display state, valve position, or steam transition","no source title, creator, model number, or transcript quotation in query"
VQ-039,压力锅达到压力并开始计时时怎样显示？,zh-CN,Pressure Cooker,state,development,design_frozen_pending_index_validation,timer countdown or pressure indicator,"no source title, creator, model number, or transcript quotation in query"
VQ-040,What indicates that pressure-cooker cooking is complete and keep-warm has started?,en,Pressure Cooker,state,development,design_frozen_pending_index_validation,completion or keep-warm display,"no source title, creator, model number, or transcript quotation in query"
VQ-041,压力锅密封圈怎样安装在锅盖上？,zh-CN,Pressure Cooker,component,development,design_frozen_pending_index_validation,ring seated around lid retainer,"no source title, creator, model number, or transcript quotation in query"
VQ-042,Where are the steam-release and float valves on a pressure-cooker lid?,en,Pressure Cooker,component,development,design_frozen_pending_index_validation,close view of lid valves,"no source title, creator, model number, or transcript quotation in query"
VQ-043,压力锅内胆和控制面板怎样配合使用？,zh-CN,Pressure Cooker,component,development,design_frozen_pending_index_validation,loaded inner pot followed by panel operation,"no source title, creator, model number, or transcript quotation in query"
VQ-044,How should the pressure-cooker lid and sealing ring be cleaned?,en,Pressure Cooker,maintenance,development,design_frozen_pending_index_validation,ring removal and lid cleaning,"no source title, creator, model number, or transcript quotation in query"
VQ-045,怎样清理压力锅的排气阀和防堵部件？,zh-CN,Pressure Cooker,maintenance,source_disjoint_test,design_frozen_pending_index_validation,"valve removal, inspection, or rinsing","no source title, creator, model number, or transcript quotation in query"
VQ-046,How is the pressure-cooker inner pot cleaned and reinstalled?,en,Pressure Cooker,maintenance,source_disjoint_test,design_frozen_pending_index_validation,inner-pot washing and reinsertion,"no source title, creator, model number, or transcript quotation in query"
VQ-047,压力锅不能密封或一直漏气时怎样检查？,zh-CN,Pressure Cooker,troubleshooting,source_disjoint_test,design_frozen_pending_index_validation,"ring, valve, lid, and seating checks","no source title, creator, model number, or transcript quotation in query"
VQ-048,What should I do when an electric pressure cooker shows a burn warning?,en,Pressure Cooker,troubleshooting,source_disjoint_test,design_frozen_pending_index_validation,"stop, depressurize, inspect liquid or stuck food","no source title, creator, model number, or transcript quotation in query"
VQ-049,压力锅释放压力后锅盖仍打不开时怎么办？,zh-CN,Pressure Cooker,troubleshooting,source_disjoint_test,design_frozen_pending_index_validation,float-valve and residual-pressure checks,"no source title, creator, model number, or transcript quotation in query"
VQ-050,How is natural pressure release performed on a pressure cooker before opening the lid?,en,Pressure Cooker,safety,source_disjoint_test,design_frozen_pending_index_validation,waiting for pressure indicator to drop,"no source title, creator, model number, or transcript quotation in query"
VQ-051,压力锅快速排气时手和脸应该避开什么位置？,zh-CN,Pressure Cooker,safety,source_disjoint_test,design_frozen_pending_index_validation,safe position away from steam outlet,"no source title, creator, model number, or transcript quotation in query"
VQ-052,How do I load paper correctly into a printer tray?,en,Printer,operation,development,design_frozen_pending_index_validation,paper loading and guide adjustment,"no source title, creator, model number, or transcript quotation in query"
VQ-053,怎样安装墨盒或硒鼓并关闭打印机？,zh-CN,Printer,operation,development,design_frozen_pending_index_validation,cartridge insertion and access-door closure,"no source title, creator, model number, or transcript quotation in query"
VQ-054,How do I print a test page from the printer controls?,en,Printer,operation,development,design_frozen_pending_index_validation,control selection followed by printed output,"no source title, creator, model number, or transcript quotation in query"
VQ-055,打印机已就绪时控制面板显示什么？,zh-CN,Printer,state,development,design_frozen_pending_index_validation,ready light or home display,"no source title, creator, model number, or transcript quotation in query"
VQ-056,What does active paper feeding and printing look like?,en,Printer,state,development,design_frozen_pending_index_validation,paper moving through printer and output appearing,"no source title, creator, model number, or transcript quotation in query"
VQ-057,打印机发生错误或缺纸时怎样显示？,zh-CN,Printer,state,development,design_frozen_pending_index_validation,"error light, code, or screen message","no source title, creator, model number, or transcript quotation in query"
VQ-058,Where are the input tray and paper guides on a printer?,en,Printer,component,development,design_frozen_pending_index_validation,tray opened with guides visible,"no source title, creator, model number, or transcript quotation in query"
VQ-059,打印机墨盒舱或硒鼓舱怎样打开？,zh-CN,Printer,component,development,design_frozen_pending_index_validation,access panel opening and cartridge area exposed,"no source title, creator, model number, or transcript quotation in query"
VQ-060,Where is the rear paper-jam access area on a printer?,en,Printer,component,development,design_frozen_pending_index_validation,rear door or duplexer removal,"no source title, creator, model number, or transcript quotation in query"
VQ-061,喷墨打印机怎样执行打印头清洗？,zh-CN,Printer,maintenance,development,design_frozen_pending_index_validation,maintenance menu or manual cleaning sequence,"no source title, creator, model number, or transcript quotation in query"
VQ-062,How is printhead alignment performed when print quality degrades?,en,Printer,maintenance,source_disjoint_test,design_frozen_pending_index_validation,alignment menu and printed alignment page,"no source title, creator, model number, or transcript quotation in query"
VQ-063,怎样更换打印机已用尽的墨盒或硒鼓？,zh-CN,Printer,maintenance,source_disjoint_test,design_frozen_pending_index_validation,old cartridge removal and new cartridge insertion,"no source title, creator, model number, or transcript quotation in query"
VQ-064,How do I remove jammed paper from a printer safely?,en,Printer,troubleshooting,source_disjoint_test,design_frozen_pending_index_validation,power-safe access and paper removal without tearing,"no source title, creator, model number, or transcript quotation in query"
VQ-065,打印机显示离线时怎样恢复连接？,zh-CN,Printer,troubleshooting,source_disjoint_test,design_frozen_pending_index_validation,"network, cable, or settings check followed by ready state","no source title, creator, model number, or transcript quotation in query"
VQ-066,How do I reseat a cartridge after a printer cartridge error?,en,Printer,troubleshooting,source_disjoint_test,design_frozen_pending_index_validation,"cartridge removal, contact check, and reinsertion","no source title, creator, model number, or transcript quotation in query"
VQ-067,检查打印机内部前为什么要先断电？,zh-CN,Printer,safety,source_disjoint_test,design_frozen_pending_index_validation,power-off or unplug step before opening,"no source title, creator, model number, or transcript quotation in query"
VQ-068,How should hot internal printer components be avoided during jam removal?,en,Printer,safety,source_disjoint_test,design_frozen_pending_index_validation,caution around fuser or hot labeled area,"no source title, creator, model number, or transcript quotation in query"
VQ-069,怎样组装吸尘器延长杆和地刷？,zh-CN,Vacuum,operation,development,design_frozen_pending_index_validation,wand and nozzle connection,"no source title, creator, model number, or transcript quotation in query"
VQ-070,How is a vacuum cleaner used on carpet or hard flooring?,en,Vacuum,operation,development,design_frozen_pending_index_validation,active passes over a floor surface,"no source title, creator, model number, or transcript quotation in query"
VQ-071,吸尘器怎样切换并使用缝隙吸头或小刷头？,zh-CN,Vacuum,operation,development,design_frozen_pending_index_validation,accessory change and targeted cleaning,"no source title, creator, model number, or transcript quotation in query"
VQ-072,What visible signs show that a vacuum is operating normally?,en,Vacuum,state,development,design_frozen_pending_index_validation,"powered brush, debris pickup, or active display","no source title, creator, model number, or transcript quotation in query"
VQ-073,无线吸尘器充电时怎样显示？,zh-CN,Vacuum,state,development,design_frozen_pending_index_validation,charging dock or battery indicator,"no source title, creator, model number, or transcript quotation in query"
VQ-074,How can I tell that a vacuum dust bin is full?,en,Vacuum,state,development,design_frozen_pending_index_validation,"visible fill line, full bin, or warning","no source title, creator, model number, or transcript quotation in query"
VQ-075,吸尘器集尘盒怎样拆下和装回？,zh-CN,Vacuum,component,development,design_frozen_pending_index_validation,bin release and reseating,"no source title, creator, model number, or transcript quotation in query"
VQ-076,Where is the vacuum filter and how is it removed?,en,Vacuum,component,development,design_frozen_pending_index_validation,filter compartment opening and removal,"no source title, creator, model number, or transcript quotation in query"
VQ-077,吸尘器地刷中的滚刷怎样拆卸？,zh-CN,Vacuum,component,development,design_frozen_pending_index_validation,floor-head latch and brush-roll extraction,"no source title, creator, model number, or transcript quotation in query"
VQ-078,How do I empty a vacuum cleaner dust bin?,en,Vacuum,maintenance,development,design_frozen_pending_index_validation,bin opening over waste container,"no source title, creator, model number, or transcript quotation in query"
VQ-079,怎样清洗或拍净吸尘器滤网？,zh-CN,Vacuum,maintenance,source_disjoint_test,design_frozen_pending_index_validation,filter cleaning and drying indication,"no source title, creator, model number, or transcript quotation in query"
VQ-080,How do I remove tangled hair from a vacuum brush roll?,en,Vacuum,maintenance,source_disjoint_test,design_frozen_pending_index_validation,hair cutting or pulling from inactive brush,"no source title, creator, model number, or transcript quotation in query"
VQ-081,吸尘器吸力下降时应检查哪些部件？,zh-CN,Vacuum,troubleshooting,source_disjoint_test,design_frozen_pending_index_validation,"bin, filter, hose, or blockage checks","no source title, creator, model number, or transcript quotation in query"
VQ-082,How do I troubleshoot a vacuum brush roll that will not spin?,en,Vacuum,troubleshooting,source_disjoint_test,design_frozen_pending_index_validation,"power, belt, obstruction, or brush inspection","no source title, creator, model number, or transcript quotation in query"
VQ-083,清理滚刷前怎样确保吸尘器不会启动？,zh-CN,Vacuum,safety,source_disjoint_test,design_frozen_pending_index_validation,unplugging or battery removal,"no source title, creator, model number, or transcript quotation in query"
VQ-084,How can liquids or hazardous debris be avoided when vacuuming?,en,Vacuum,safety,source_disjoint_test,design_frozen_pending_index_validation,dry-area inspection or unsuitable debris avoidance,"no source title, creator, model number, or transcript quotation in query"
VQ-085,怎样把衣物放入洗衣机并避免过载？,zh-CN,Washing Machine,operation,development,design_frozen_pending_index_validation,clothes distributed inside drum,"no source title, creator, model number, or transcript quotation in query"
VQ-086,Which washing-machine detergent-drawer compartment should receive detergent?,en,Washing Machine,operation,development,design_frozen_pending_index_validation,drawer compartments and detergent placement,"no source title, creator, model number, or transcript quotation in query"
VQ-087,怎样选择洗涤程序并启动洗衣机？,zh-CN,Washing Machine,operation,development,design_frozen_pending_index_validation,dial or panel selection followed by start,"no source title, creator, model number, or transcript quotation in query"
VQ-088,What do washing-machine filling and washing states look like?,en,Washing Machine,state,development,design_frozen_pending_index_validation,water entry and drum agitation,"no source title, creator, model number, or transcript quotation in query"
VQ-089,洗衣机正在脱水时怎样判断？,zh-CN,Washing Machine,state,development,design_frozen_pending_index_validation,high-speed drum rotation or spin indicator,"no source title, creator, model number, or transcript quotation in query"
VQ-090,What shows that a washing-machine cycle has ended and the door is unlocked?,en,Washing Machine,state,development,design_frozen_pending_index_validation,completion display and lock indicator off,"no source title, creator, model number, or transcript quotation in query"
VQ-091,洗衣机洗涤剂抽屉怎样拉出？,zh-CN,Washing Machine,component,development,design_frozen_pending_index_validation,drawer release and removal,"no source title, creator, model number, or transcript quotation in query"
VQ-092,Where is the drain-pump filter on a front-loading washer?,en,Washing Machine,component,development,design_frozen_pending_index_validation,lower service flap and filter cap,"no source title, creator, model number, or transcript quotation in query"
VQ-093,洗衣机门封胶圈应该检查哪些位置？,zh-CN,Washing Machine,component,development,design_frozen_pending_index_validation,seal folds exposed and checked,"no source title, creator, model number, or transcript quotation in query"
VQ-094,How do I clean a washing-machine drain filter?,en,Washing Machine,maintenance,development,design_frozen_pending_index_validation,"controlled draining, filter removal, and cleaning","no source title, creator, model number, or transcript quotation in query"
VQ-095,怎样擦洗滚筒洗衣机门封胶圈？,zh-CN,Washing Machine,maintenance,source_disjoint_test,design_frozen_pending_index_validation,gasket folds wiped and debris removed,"no source title, creator, model number, or transcript quotation in query"
VQ-096,How do I run a washing-machine drum-clean cycle?,en,Washing Machine,maintenance,source_disjoint_test,design_frozen_pending_index_validation,clean-cycle selection and empty drum,"no source title, creator, model number, or transcript quotation in query"
VQ-097,洗衣机不排水时怎样检查过滤器和排水管？,zh-CN,Washing Machine,troubleshooting,source_disjoint_test,design_frozen_pending_index_validation,filter and drain-hose inspection,"no source title, creator, model number, or transcript quotation in query"
VQ-098,How can an unbalanced washing-machine load causing violent movement be corrected?,en,Washing Machine,troubleshooting,source_disjoint_test,design_frozen_pending_index_validation,cycle stop and laundry redistribution,"no source title, creator, model number, or transcript quotation in query"
VQ-099,洗衣机运行时为什么不能强行开门？,zh-CN,Washing Machine,safety,source_disjoint_test,design_frozen_pending_index_validation,locked door and active water or drum state,"no source title, creator, model number, or transcript quotation in query"
VQ-100,How should washing-machine power and hot residual water be handled before cleaning the drain filter?,en,Washing Machine,safety,source_disjoint_test,design_frozen_pending_index_validation,"unplugging, cooling, and controlled draining","no source title, creator, model number, or transcript quotation in query"
